dist,n,trial,time_ms,comparisons,swaps,accesses
random,1000,1,3,499500,993,1002972
random,100,1,0,4950,91,10264
random,100,2,0,4950,95,10280
random,100,3,0,4950,97,10288
random,1000,1,3,499500,991,1002964
random,1000,2,1,499500,993,1002972
random,1000,3,0,499500,995,1002980
random,10000,1,40,49995000,9988,100029952
random,10000,2,37,49995000,9987,100029948
random,10000,3,23,49995000,9996,100029984
random,100000,1,3580,4999950000,99989,10000299956
random,100000,2,3675,4999950000,99988,10000299952
random,100000,3,2162,4999950000,99990,10000299960
sorted,100,1,0,4950,94,10276
sorted,100,2,0,4950,97,10288
sorted,100,3,0,4950,95,10280
sorted,1000,1,3,499500,992,1002968
sorted,1000,2,1,499500,993,1002972
sorted,1000,3,0,499500,993,1002972
sorted,10000,1,40,49995000,9991,100029964
sorted,10000,2,36,49995000,9989,100029956
sorted,10000,3,25,49995000,9985,100029940
sorted,100000,1,3581,4999950000,99986,10000299944
sorted,100000,2,3583,4999950000,99990,10000299960
sorted,100000,3,2135,4999950000,99989,10000299956
reverse,100,1,0,4950,93,10272
reverse,100,2,0,4950,96,10284
reverse,100,3,0,4950,98,10292
reverse,1000,1,4,499500,993,1002972
reverse,1000,2,1,499500,994,1002976
reverse,1000,3,0,499500,997,1002988
reverse,10000,1,40,49995000,9991,100029964
reverse,10000,2,36,49995000,9988,100029952
reverse,10000,3,22,49995000,9993,100029972
random,100,1,0,4950,93,10272
random,100,2,0,4950,95,10280
random,100,3,0,4950,93,10272
random,1000,1,4,499500,992,1002968
random,1000,2,1,499500,990,1002960
random,1000,3,0,499500,992,1002968
random,10000,1,39,49995000,9989,100029956
random,10000,2,36,49995000,9988,100029952
random,10000,3,21,49995000,9993,100029972
random,100000,1,3639,4999950000,99989,10000299956
random,100000,2,3563,4999950000,99991,10000299964
random,100000,3,2178,4999950000,99984,10000299936
sorted,100,1,0,4950,99,10296
sorted,100,2,0,4950,88,10252
sorted,100,3,0,4950,96,10284
sorted,1000,1,3,499500,992,1002968
sorted,1000,2,1,499500,991,1002964
sorted,1000,3,0,499500,994,1002976
sorted,10000,1,39,49995000,9988,100029952
sorted,10000,2,36,49995000,9984,100029936
sorted,10000,3,34,49995000,9987,100029948
sorted,100000,1,3626,4999950000,99984,10000299936
sorted,100000,2,3696,4999950000,99988,10000299952
